"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Team","Home_Away","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"UEFA Champions League","2020-10-20","UEFA Champions League (Group stage)","Dynamo Kyiv","4-3-3",0,0.5,"","0","0","Juventus","4-4-1-1",2,2,"Álvaro Morata · 46&rsquor; Álvaro Morata · 84&rsquor;","3","0","Dynamo Kyiv","Home",990,0,0,0,0,11,4,0,0,636,11,17,6,0.5,0.5,0.3,15,0,453,544,83.3,36,346,17,10,4
"UEFA Champions League","2020-10-20","UEFA Champions League (Group stage)","Dynamo Kyiv","4-3-3",0,0.5,"","0","0","Juventus","4-4-1-1",2,2,"Álvaro Morata · 46&rsquor; Álvaro Morata · 84&rsquor;","3","0","Juventus","Away",990,2,2,0,0,10,6,3,0,689,11,23,5,2.1,2.1,0.8,17,3,506,593,85.3,46,377,18,24,17
"UEFA Champions League","2020-10-20","UEFA Champions League (Group stage)","Zenit","4-4-2",1,2.2,"Ethan Horvath (OG) · 74&rsquor;","1","0","Club Brugge","4-3-3",2,2,"Emmanuel Dennis · 63&rsquor; Charles De Ketelaere · 90+3&rsquor;","4","0","Zenit","Home",990,0,0,0,0,14,3,1,0,646,13,14,12,2.2,2.2,1.9,24,0,401,537,74.7,36,329,15,8,6
"UEFA Champions League","2020-10-20","UEFA Champions League (Group stage)","Zenit","4-4-2",1,2.2,"Ethan Horvath (OG) · 74&rsquor;","1","0","Club Brugge","4-3-3",2,2,"Emmanuel Dennis · 63&rsquor; Charles De Ketelaere · 90+3&rsquor;","4","0","Club Brugge","Away",990,2,1,0,0,13,3,4,0,608,14,14,9,2.8,2.8,1.6,23,3,353,497,71,39,363,20,14,13
"UEFA Champions League","2020-10-20","UEFA Champions League (Group stage)","Chelsea","4-2-3-1",0,0.4,"","3","0","Sevilla","4-3-3",0,0.2,"","2","0","Chelsea","Home",990,0,0,0,0,6,4,3,0,618,23,10,13,0.4,0.4,0.3,9,0,398,505,78.8,34,389,14,11,7
"UEFA Champions League","2020-10-20","UEFA Champions League (Group stage)","Chelsea","4-2-3-1",0,0.4,"","3","0","Sevilla","4-3-3",0,0.2,"","2","0","Sevilla","Away",990,0,0,0,0,5,2,2,0,735,13,10,10,0.2,0.2,0.2,10,0,520,642,81,37,388,12,18,8
"UEFA Champions League","2020-10-20","UEFA Champions League (Group stage)","RB Leipzig","4-1-4-1",2,1,"Angeliño · 16&rsquor; Angeliño · 20&rsquor;","4","0","İstanbul Başakşehir","4-1-4-1",0,0.6,"","3","0","RB Leipzig","Home",990,2,2,0,0,12,6,4,0,628,21,19,7,1,1,0.9,20,4,387,507,76.3,32,416,14,15,6
"UEFA Champions League","2020-10-20","UEFA Champions League (Group stage)","RB Leipzig","4-1-4-1",2,1,"Angeliño · 16&rsquor; Angeliño · 20&rsquor;","4","0","İstanbul Başakşehir","4-1-4-1",0,0.6,"","3","0","İstanbul Başakşehir","Away",990,0,0,0,0,7,3,3,0,665,11,21,8,0.6,0.6,0.5,12,0,429,549,78.1,45,467,25,20,11
"UEFA Champions League","2020-10-20","UEFA Champions League (Group stage)","Barcelona","4-2-3-1",5,2.8,"Lionel Messi (P) · 27&rsquor; Ansu Fati · 42&rsquor; Philippe Coutinho · 52&rsquor; Gerard Piqué · 68&rsquor; Pedri · 82&rsquor; Ousmane Dembélé · 89&rsquor;","0","1","Ferencváros","4-2-3-1",1,1.3,"Ihor Kharatin (P) · 70&rsquor;","4","0","Barcelona","Home",967,5,4,1,1,21,10,0,1,849,21,13,4,2.8,2,1.7,41,10,673,755,89.1,52,593,28,21,12
"UEFA Champions League","2020-10-20","UEFA Champions League (Group stage)","Barcelona","4-2-3-1",5,2.8,"Lionel Messi (P) · 27&rsquor; Ansu Fati · 42&rsquor; Philippe Coutinho · 52&rsquor; Gerard Piqué · 68&rsquor; Pedri · 82&rsquor; Ousmane Dembélé · 89&rsquor;","0","1","Ferencváros","4-2-3-1",1,1.3,"Ihor Kharatin (P) · 70&rsquor;","4","0","Ferencváros","Away",990,1,0,1,1,7,1,4,0,574,19,19,11,1.3,0.5,0.3,13,2,404,474,85.2,30,375,9,11,5
